2023-01-03T09:18Z INFO main | START /C:/Outils/java-agent/nudge-3.6.1.jar
2023-01-03T09:18Z INFO main | CONFIG C:\Outils\java-agent\nudge.properties
2023-01-03T09:18Z INFO main | LOG C:\Outils\java-agent\log\nudge.log
2023-01-03T09:18Z INFO main | Version 3.6.1
2023-01-03T09:18Z SEVERE main | config app_id = b05bf3f0-18fc-46a2-923a-c206ac11e703 (mandatory)
2023-01-03T09:18Z SEVERE main | config server_url = [http://localhost:8081] (default = [])
2023-01-03T09:18Z SEVERE main | config compressed = false (default = true)
2023-01-03T09:18Z SEVERE main | config upload_config = true (default = false)
2023-01-03T09:18Z SEVERE main | config log_level = FINE (default = INFO)
2023-01-03T09:18Z SEVERE main | config capture_params = true (default = false)
2023-01-03T09:18Z SEVERE main | config capture_headers = true (default = false)
2023-01-03T09:18Z SEVERE main | config http_client_ip = true (default = false)
2023-01-03T09:18Z SEVERE main | config activate_rum = true (default = false)
2023-01-03T09:18Z SEVERE main | config log_servlet_contextlistener = true (default = false)
2023-01-03T09:18Z INFO main | Orchestrator STARTED
2023-01-03T09:18Z FINE main | ignored class : org/nudge/probe/libscan/LibScanTransformer (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - jdk/internal/vm/PostVMInitHook (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - jdk/internal/vm/PostVMInitHook$2 (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - jdk/internal/util/EnvUtils (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - jdk/internal/vm/PostVMInitHook$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - sun/launcher/LauncherHelper (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - sun/launcher/LauncherHelper$ResourceBundleHolder (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/util/ResourceBundle$CacheKey (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/util/ResourceBundle$KeyElementReference (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/util/ResourceBundle$CacheKeyReference (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/util/ResourceBundle$3 (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | ignored class : sun/security/util/FilePermCompat (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | ignored class : sun/security/util/SecurityProperties (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/io/FilePermission (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - sun/launcher/resources/launcher (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/util/ResourceBundle$BundleReference (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - jdk/internal/module/Checks (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/text/MessageFormat (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/text/MessageFormat$Field (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/util/IdentityHashMap$IdentityHashMapIterator (BootstrapClassLoader)
2023-01-03T09:18Z FINE main | checking instrumentability for - java/util/IdentityHashMap$KeyIterator (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | flush : before shutdown
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/probe/collector/CollectorImpl$2 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/probe/collector/NudgeConnector$3 (BootstrapClassLoader)
2023-01-03T09:18Z INFO nudge | collector flush - tx: 0, rum: 0, threads 0, mbeans 0, events: 0, system: 0
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/probe/collector/NudgeConnector$WriteTo (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | checking instrumentability for - java/io/File$TempDirectory (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$RawData (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cnab/probe/RawDataProtocol$RawDataOrBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | checking instrumentability for - java/io/FileOutputStream$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/MessageOrBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/MessageLiteOrBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/GeneratedMessage (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/probe/collector/NudgeConnector$4 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/AbstractMessage (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/probe/collector/WriteData (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/Message (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/MessageLite (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/client/methods/RequestBuilder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | ignored class : org/nudge/dependency/cgp/AbstractMessageLite (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/probe/collector/ApacheHttpConnector$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/entity/AbstractHttpEntity (BootstrapClassLoader)
