2023-05-24T08:35Z INFO Thread-0 | STARTING WATCH : folder path : C:\Outils\spring-petclinic-new
2023-05-24T08:35Z INFO main | START /C:/Outils/spring-petclinic-new/nudge.jar
2023-05-24T08:35Z INFO main | CONFIG C:\Outils\spring-petclinic-new\nudge.properties
2023-05-24T08:35Z INFO main | LOG C:\Outils\spring-petclinic-new\log\nudge.log
2023-05-24T08:35Z INFO main | Version 4.0.0-SNAPSHOT
2023-05-24T08:35Z SEVERE main | config app_id = 61ab5b54-854f-467f-a635-39a1147135b6 (mandatory)
2023-05-24T08:35Z SEVERE main | config server_url = [http://localhost:8081] (default = [])
2023-05-24T08:35Z SEVERE main | config prepend_tx_type = true (default = false)
2023-05-24T08:35Z SEVERE main | config thread_dump_frequency = 300 (default = 0)
2023-05-24T08:35Z SEVERE main | config thread_dump_duration = 1800 (default = 0)
2023-05-24T08:35Z SEVERE main | config dump_classes = true (default = false)
2023-05-24T08:35Z SEVERE main | config capture_params = true (default = false)
2023-05-24T08:35Z SEVERE main | config allowed_params = [lastName] (default = [])
2023-05-24T08:35Z SEVERE main | config capture_headers = true (default = false)
2023-05-24T08:35Z SEVERE main | config allowed_headers = [*] (default = [])
2023-05-24T08:35Z SEVERE main | config http_client_ip = true (default = false)
2023-05-24T08:35Z SEVERE main | config log_connection = true (default = false)
2023-05-24T08:35Z SEVERE main | config activate_rum = true (default = false)
2023-05-24T08:35Z SEVERE main | config log_runnable = true (default = false)
2023-05-24T08:35Z SEVERE main | config log_servlet_contextlistener = true (default = false)
2023-05-24T08:35Z INFO main | Orchestrator STARTED
2023-05-24T08:35Z FINE main | ignored class : org/nudge/probe/libscan/LibScanTransformer (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/misc/PostVMInitHook (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/misc/PostVMInitHook$2 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - jdk/internal/util/EnvUtils (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/misc/PostVMInitHook$1 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/usagetracker/UsageTrackerClient (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/usagetracker/UsageTrackerClient$1 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/usagetracker/UsageTrackerClient$4 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/usagetracker/UsageTrackerClient$2 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/usagetracker/UsageTrackerClient$3 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/io/FileOutputStream$1 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/launcher/LauncherHelper (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | ignored class : java/security/BasicPermissionCollection (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/JarLauncher (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/ExecutableArchiveLauncher (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/Launcher (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - sun/launcher/LauncherHelper$FXHelper (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/LaunchedURLClassLoader (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/lang/IllegalStateException (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/Archive (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/Archive$Entry (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/Archive$EntryFilter (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/lang/invoke/InnerClassLambdaMetafactory$1 (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/JarFileArchive (sun.misc.Launcher_AppClassLoader_18b4aac2)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/nio/file/attribute/PosixFilePermission (BootstrapClassLoader)
2023-05-24T08:35Z FINE main | checking instrumentability for - java/nio/file/attribute/FileAttribute (BootstrapClassLoader)
