2022-04-26T12:42Z INFO main | START /C:/Outils/nudge-java-agent/assembler/target/client-package/nudge-3.6.1.jar
2022-04-26T12:42Z INFO main | CONFIG C:\Outils\nudge-java-agent\assembler\target\client-package\nudge.properties
2022-04-26T12:42Z INFO main | LOG C:\Outils\nudge-java-agent\assembler\target\client-package\log\nudge.log
2022-04-26T12:42Z INFO main | Version 3.6.1
2022-04-26T12:42Z SEVERE main | config app_id = 35bfd563-76ef-4ce3-ad8e-f67cad33de66 (mandatory)
2022-04-26T12:42Z SEVERE main | config server_url = [http://localhost:8181] (default = [])
2022-04-26T12:42Z INFO main | Orchestrator STARTED
2022-04-26T12:42Z FINE main | ignored class : org/nudge/probe/libscan/LibScanTransformer (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - jdk/internal/vm/PostVMInitHook (BootstrapClassLoader)
2022-04-26T12:42Z FINE nudge | checking instrumentability for - java/util/concurrent/ForkJoinPool$ForkJoinWorkerThreadFactory (BootstrapClassLoader)
2022-04-26T12:42Z FINE nudge | checking instrumentability for - java/util/concurrent/ForkJoinPool$DefaultForkJoinWorkerThreadFactory (BootstrapClassLoader)
2022-04-26T12:42Z FINE nudge | ignored class : java/security/BasicPermissionCollection (BootstrapClassLoader)
2022-04-26T12:42Z FINE nudge | checking instrumentability for - java/util/concurrent/ForkJoinPool$1 (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - jdk/internal/vm/PostVMInitHook$2 (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - jdk/internal/util/EnvUtils (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - jdk/internal/vm/PostVMInitHook$1 (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/launcher/LauncherHelper (BootstrapClassLoader)
2022-04-26T12:42Z FINE nudge | checking instrumentability for - java/util/concurrent/ForkJoinPool$DefaultCommonPoolForkJoinWorkerThreadFactory (BootstrapClassLoader)
2022-04-26T12:42Z FINE nudge | checking instrumentability for - java/util/concurrent/ForkJoinPool$WorkQueue (BootstrapClassLoader)
2022-04-26T12:42Z FINE nudge | checking instrumentability for - java/util/concurrent/ForkJoinWorkerThread (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/io/RandomAccessFile$1 (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/lang/Package (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/lang/Package$VersionInfo (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/nio/ByteBuffered (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/JarLauncher (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/ExecutableArchiveLauncher (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/Launcher (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/LaunchedURLClassLoader (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/net/URLClassLoader (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/Archive (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/Archive$EntryFilter (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/Archive$Entry (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/archive/JarFileArchive (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/nio/file/attribute/PosixFilePermission (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFile (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/AbstractJarFile (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/CentralDirectoryVisitor (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessData (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/FileHeader (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarEntry (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/io/FilePermission (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/Handler (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/AsciiBytes (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessDataFile (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - java/io/EOFException (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessDataFile$DataInputStream (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/data/RandomAccessDataFile$FileAccess (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/AbstractJarFile$JarFileType (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/CentralDirectoryParser (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/JarFileEntries (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - org/springframework/boot/loader/jar/ZipInflaterInputStream (jdk.internal.loader.ClassLoaders_AppClassLoader_5e2de80c)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/reflect/generics/parser/SignatureParser (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/reflect/generics/tree/TypeArgument (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/reflect/generics/tree/TypeTree (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/reflect/generics/tree/Tree (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/reflect/generics/tree/SimpleClassTypeSignature (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/reflect/generics/tree/FieldTypeSignature (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/reflect/generics/tree/BaseType (BootstrapClassLoader)
2022-04-26T12:42Z FINE main | checking instrumentability for - sun/reflect/generics/tree/TypeSignature (BootstrapClassLoader)
